"","individual","treatment","nitrogen"
"1","I1","A",8.7
"2","I1","A",7.9
"3","I1","A",16.4
"4","I1","A",15.9
"5","I1","A",12.9
"6","I1","A",14.1
"7","I1","A",13.2
"8","I1","A",16.6
"9","I2","A",9
"10","I2","A",11.3
"11","I2","A",9.6
"12","I2","A",10.1
"13","I2","A",14.6
"14","I2","A",12.6
"15","I2","A",11.2
"16","I2","A",11.1
"17","I3","A",10.7
"18","I3","A",4.5
"19","I3","A",11.2
"20","I3","A",10.2
"21","I3","A",13
"22","I3","A",9.5
"23","I3","A",5.2
"24","I3","A",13
"25","I4","A",18.3
"26","I4","A",7.1
"27","I4","A",16.1
"28","I4","A",14.7
"29","I4","A",16.1
"30","I4","A",14.5
"31","I4","A",15.2
"32","I4","A",16.5
"33","I5","A",10.1
"34","I5","A",13.7
"35","I5","A",6.5
"36","I5","A",4.1
"37","I5","A",9.6
"38","I5","A",5.7
"39","I5","A",7.6
"40","I5","A",7.4
"41","I6","B",10.5
"42","I6","B",17.5
"43","I6","B",12.9
"44","I6","B",11.2
"45","I6","B",13.3
"46","I6","B",17
"47","I6","B",18.4
"48","I6","B",15.2
"49","I7","B",9
"50","I7","B",12.4
"51","I7","B",15.6
"52","I7","B",17.4
"53","I7","B",16
"54","I7","B",20.8
"55","I7","B",14.9
"56","I7","B",15.4
"57","I8","B",19.6
"58","I8","B",15
"59","I8","B",17.3
"60","I8","B",17.5
"61","I8","B",14.7
"62","I8","B",12.7
"63","I8","B",15.4
"64","I8","B",18.1
"65","I9","B",12.2
"66","I9","B",17.8
"67","I9","B",14
"68","I9","B",17.9
"69","I9","B",9.4
"70","I9","B",18.9
"71","I9","B",7.7
"72","I9","B",19.9
"73","I10","B",14.1
"74","I10","B",10.5
"75","I10","B",11.9
"76","I10","B",11.8
"77","I10","B",14.7
"78","I10","B",10.8
"79","I10","B",12.9
"80","I10","B",12.4
